,Mkt-RF,SMB,HML,RMW,CMA,MKT_GMB_BL|DAILY_RETURNS,MKT_GMB_RO|DAILY_RETURNS,MKT_GMB|DAILY_RETURNS,IND_W_GMB_BL|DAILY_RETURNS,IND_W_GMB_RO|DAILY_RETURNS,IND_W_GMB|DAILY_RETURNS,MKT|DAILY_RETURNS
Mkt-RF,1.0,0.18645467450436456,-0.043841889688757935,-0.13686614861950366,-0.2728478383719395,-0.3173342566864198,-0.28101765861579325,-0.3502990399350404,0.14899392557340796,-0.08534006551037678,0.04448702648538906,0.9931445324657985
SMB,0.18645467450436456,1.0,0.2945347746647225,-0.2060533331802596,0.030687158712557894,-0.24072846943370527,-0.5065036012804329,-0.4185968712187909,0.08683974937693162,-0.3745301374109604,-0.1804470298953726,0.10389319764269048
HML,-0.043841889688757935,0.2945347746647225,1.0,0.3759275370102914,0.6225442447805328,-0.12145628225264803,-0.4688953195243829,-0.3223790844915051,0.3082049691034403,-0.07263464773117723,0.1580425314639499,-0.0528484779328063
RMW,-0.13686614861950366,-0.2060533331802596,0.3759275370102914,1.0,0.30424667320512355,0.07154208779226987,0.04208350772721469,0.06788880845614534,0.1362188871549,0.09744691641667635,0.15216827761228477,-0.08813489349905293
CMA,-0.2728478383719395,0.030687158712557894,0.6225442447805328,0.30424667320512355,1.0,0.30096212427796587,-0.08158698972943865,0.15081625546096347,0.1900525725653661,0.05580540154192369,0.16137525257595828,-0.26625780105518626
MKT_GMB_BL|DAILY_RETURNS,-0.3173342566864198,-0.24072846943370527,-0.12145628225264803,0.07154208779226987,0.30096212427796587,1.0,0.47160708017891606,0.8881568695293584,0.3504873623123698,0.27520394640540846,0.4070769050964647,-0.2924147194055375
MKT_GMB_RO|DAILY_RETURNS,-0.28101765861579325,-0.5065036012804329,-0.4688953195243829,0.04208350772721469,-0.08158698972943865,0.47160708017891606,1.0,0.8240878332628383,-0.05981083476748506,0.6088079486660009,0.3472175638289452,-0.24378004396279615
MKT_GMB|DAILY_RETURNS,-0.3502990399350404,-0.4185968712187909,-0.3223790844915051,0.06788880845614534,0.15081625546096347,0.8881568695293584,0.8240878332628383,1.0,0.1939788891212192,0.49405770716437997,0.4424475127434025,-0.3148852857824444
IND_W_GMB_BL|DAILY_RETURNS,0.14899392557340796,0.08683974937693162,0.3082049691034403,0.1362188871549,0.1900525725653661,0.3504873623123698,-0.05981083476748506,0.1939788891212192,1.0,0.1868293934195283,0.7812451729990875,0.15739345676728256
IND_W_GMB_RO|DAILY_RETURNS,-0.08534006551037678,-0.3745301374109604,-0.07263464773117723,0.09744691641667635,0.05580540154192369,0.27520394640540846,0.6088079486660009,0.49405770716437997,0.1868293934195283,1.0,0.7591927564948807,-0.03999498312709792
IND_W_GMB|DAILY_RETURNS,0.04448702648538906,-0.1804470298953726,0.1580425314639499,0.15216827761228477,0.16137525257595828,0.4070769050964647,0.3472175638289452,0.4424475127434025,0.7812451729990875,0.7591927564948807,1.0,0.07886480803458414
MKT|DAILY_RETURNS,0.9931445324657985,0.10389319764269048,-0.0528484779328063,-0.08813489349905293,-0.26625780105518626,-0.2924147194055375,-0.24378004396279615,-0.3148852857824444,0.15739345676728256,-0.03999498312709792,0.07886480803458414,1.0
